teste;teste;teste;teste;teste;teste;teste;
7891033813605;ESTJ COFFEE WOMAN SEDUCTION REG/20;81360;00001;00226;;01/04/2021 08:28:17;22/04/2021 18:16:54;
7891033711833;NSPA DES ANTIT AER AMEI 75g;71183;00001;00227;;01/04/2021 08:28:56;22/04/2021 18:16:54;
7891033711833;NSPA DES ANTIT AER AMEI 75g;71183;00001;00227;;01/04/2021 08:28:57;22/04/2021 18:16:54;
7891033711413;NSPA SAB LIQ CPO AMEIXA 200ml V2;71141;00001;00227;;01/04/2021 08:28:35;22/04/2021 18:16:54;
7891033711413;NSPA SAB LIQ CPO AMEIXA 200ml V2;71141;00001;00227;;01/04/2021 08:28:37;22/04/2021 18:16:54;
7891033711413;NSPA SAB LIQ CPO AMEIXA 200ml V2;71141;00001;00227;;01/04/2021 08:28:38;22/04/2021 18:16:54;
7891033720569;NSPA SAB BARRA AMEI 90g V4;72056;00001;00227;;01/04/2021 08:28:51;22/04/2021 18:16:54;
7891033720569;NSPA SAB BARRA AMEI 90g V4;72056;00001;00227;;01/04/2021 08:28:53;22/04/2021 18:16:54;
7891033720569;NSPA SAB BARRA AMEI 90g V4;72056;00001;00227;;01/04/2021 08:28:54;22/04/2021 18:16:54;
7891033712137;NSPA SHAMP AMEI 300ml;71213;00001;00227;;01/04/2021 08:28:59;22/04/2021 18:16:54;
7891033711321;NSPA COND AMEI 300ml;71132;00001;00227;;01/04/2021 08:29:02;22/04/2021 18:16:54;
7891033722556;NSPA CREM S/ENXAGUE AMEI 150ml V2;72255;00001;00227;;01/04/2021 08:29:05;22/04/2021 18:16:54;
7891033722556;NSPA CREM S/ENXAGUE AMEI 150ml V2;72255;00001;00227;;01/04/2021 08:29:07;22/04/2021 18:16:54;
7891033831050;NSPA OL DES HID CPO ACAI 200ml V2;83105;00001;00455;;01/04/2021 08:29:03;22/04/2021 18:16:54;
7891033831050;NSPA OL DES HID CPO ACAI 200ml V2;83105;00001;00455;;01/04/2021 08:29:06;22/04/2021 18:16:54;
7891033711765;NSPA CREM HID DES MAOS ACAI 75g V2;71176;00001;00455;;01/04/2021 08:29:08;22/04/2021 18:16:54;
7891033711765;NSPA CREM HID DES MAOS ACAI 75g V2;71176;00001;00455;;01/04/2021 08:29:10;22/04/2021 18:16:54;
7891033711765;NSPA CREM HID DES MAOS ACAI 75g V2;71176;00001;00455;;01/04/2021 08:29:12;22/04/2021 18:16:54;
7891033711765;NSPA CREM HID DES MAOS ACAI 75g V2;71176;00001;00455;;01/04/2021 08:29:14;22/04/2021 18:16:54;
7891033722495;NSPA DES COL BDY SPLSH ACAI 200ml;72249;00001;00455;;01/04/2021 08:29:17;22/04/2021 18:16:54;
7891033711864;NSPA LOC HID DES CPO AMEI 400ml V5;71186;00001;00464;;01/04/2021 08:29:35;22/04/2021 18:16:54;
7891033711918;NSPA LOC HID DES CPO AMEI 200ml V2;71191;00001;00464;;01/04/2021 08:29:39;22/04/2021 18:16:54;
7891033711918;NSPA LOC HID DES CPO AMEI 200ml V2;71191;00001;00464;;01/04/2021 08:29:42;22/04/2021 18:16:54;
7891033711918;NSPA LOC HID DES CPO AMEI 200ml V2;71191;00001;00464;;01/04/2021 08:29:45;22/04/2021 18:16:54;
7891033711918;NSPA LOC HID DES CPO AMEI 200ml V2;71191;00001;00464;;01/04/2021 08:29:48;22/04/2021 18:16:54;
7891033711918;NSPA LOC HID DES CPO AMEI 200ml V2;71191;00001;00464;;01/04/2021 08:29:51;22/04/2021 18:16:54;
7891033746958;NSPA SAB LIQ MAOS AMEI 400ml;74695;00001;00464;;01/04/2021 08:30:04;22/04/2021 18:16:54;
7891033746958;NSPA SAB LIQ MAOS AMEI 400ml;74695;00001;00464;;01/04/2021 08:30:06;22/04/2021 18:16:54;
7891033720545;NSPA SAB BARRA AMEI 3X90g V2;72054;00001;00464;;01/04/2021 08:29:53;22/04/2021 18:16:54;
7891033720545;NSPA SAB BARRA AMEI 3X90g V2;72054;00001;00464;;01/04/2021 08:29:56;22/04/2021 18:16:54;
7891033720545;NSPA SAB BARRA AMEI 3X90g V2;72054;00001;00464;;01/04/2021 08:29:58;22/04/2021 18:16:54;
7891033712137;NSPA SHAMP AMEI 300ml;71213;00001;00463;;01/04/2021 08:31:36;22/04/2021 18:16:54;
7891033712137;NSPA SHAMP AMEI 300ml;71213;00001;00463;;01/04/2021 08:31:39;22/04/2021 18:16:54;
7891033711321;NSPA COND AMEI 300ml;71132;00001;00463;;01/04/2021 08:31:42;22/04/2021 18:16:54;
7891033722464;NSPA DES COL BDY SPLSH AMEI 200ml;72246;00001;00463;;01/04/2021 08:31:45;22/04/2021 18:16:54;
7891033722464;NSPA DES COL BDY SPLSH AMEI 200ml;72246;00001;00463;;01/04/2021 08:31:47;22/04/2021 18:16:54;
7891033831067;NSPA OL DES HID CPO AMEI 200ml V2;83106;00001;00463;;01/04/2021 08:31:51;22/04/2021 18:16:54;
7891033831067;NSPA OL DES HID CPO AMEI 200ml V2;83106;00001;00463;;01/04/2021 08:31:54;22/04/2021 18:16:54;
7891033831067;NSPA OL DES HID CPO AMEI 200ml V2;83106;00001;00463;;01/04/2021 08:31:57;22/04/2021 18:16:54;
7891033711338;EGEO DES COL CHOC 90ml V2;71133;00001;00503;;01/04/2021 08:39:46;22/04/2021 18:16:54;
7891033711338;EGEO DES COL CHOC 90ml V2;71133;00001;00503;;01/04/2021 08:39:52;22/04/2021 18:16:54;
7891033711338;EGEO DES COL CHOC 90ml V2;71133;00001;00503;;01/04/2021 08:39:56;22/04/2021 18:16:54;
7891033244539;EGEO DES COL DOLCE 90ml;24453;00001;00503;;01/04/2021 08:40:15;22/04/2021 18:16:54;
7891033244539;EGEO DES COL DOLCE 90ml;24453;00001;00503;;01/04/2021 08:40:21;22/04/2021 18:16:54;
7891033805013;EGEO DES COL VANILLA VIBE 90ml;80501;00001;00503;;01/04/2021 08:40:31;22/04/2021 18:16:54;
7891033805013;EGEO DES COL VANILLA VIBE 90ml;80501;00001;00503;;01/04/2021 08:40:51;22/04/2021 18:16:54;
7891033805013;EGEO DES COL VANILLA VIBE 90ml;80501;00001;00503;;01/04/2021 08:40:59;22/04/2021 18:16:54;
7891033805013;EGEO DES COL VANILLA VIBE 90ml;80501;00001;00503;;01/04/2021 08:41:05;22/04/2021 18:16:54;
7891033805013;EGEO DES COL VANILLA VIBE 90ml;80501;00001;00503;;01/04/2021 08:41:12;22/04/2021 18:16:54;
7891033829156;EGEO DES COL DOLCE COLORS 90ml;82915;00001;00503;;01/04/2021 08:41:25;22/04/2021 18:16:54;
7891033829156;EGEO DES COL DOLCE COLORS 90ml;82915;00001;00503;;01/04/2021 08:41:31;22/04/2021 18:16:54;
7891033735303;EGEO DES COL BOMB BLACK 90ml V2;73530;00001;00299;;01/04/2021 08:28:26;22/04/2021 18:16:54;
7891033735303;EGEO DES COL BOMB BLACK 90ml V2;73530;00001;00299;;01/04/2021 08:28:34;22/04/2021 18:16:54;
7891033735303;EGEO DES COL BOMB BLACK 90ml V2;73530;00001;00299;;01/04/2021 08:28:43;22/04/2021 18:16:54;
7891033735303;EGEO DES COL BOMB BLACK 90ml V2;73530;00001;00299;;01/04/2021 08:28:49;22/04/2021 18:16:54;
7891033759514;EGEO DES COL ON YOU 90ml;75951;00001;00299;;01/04/2021 08:29:04;22/04/2021 18:16:54;
7891033759514;EGEO DES COL ON YOU 90ml;75951;00001;00299;;01/04/2021 08:29:12;22/04/2021 18:16:54;
7891033759514;EGEO DES COL ON YOU 90ml;75951;00001;00299;;01/04/2021 08:29:20;22/04/2021 18:16:54;
7891033759514;EGEO DES COL ON YOU 90ml;75951;00001;00299;;01/04/2021 08:29:27;22/04/2021 18:16:54;
7891033805020;EGEO DES COL SPICY VIBE 90ml;80502;00001;00299;;01/04/2021 08:29:47;22/04/2021 18:16:54;
7891033805020;EGEO DES COL SPICY VIBE 90ml;80502;00001;00299;;01/04/2021 08:29:55;22/04/2021 18:16:54;
7891033805020;EGEO DES COL SPICY VIBE 90ml;80502;00001;00299;;01/04/2021 08:29:57;22/04/2021 18:16:54;
